"10:20:45.122 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.5%"
"10:47:50.079 -> Soil: 90.0% | Temp: 31.4°C | Hum: 72.6%"
"10:47:55.103 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.7%"
"10:48:00.108 -> Soil: 90.0% | Temp: 31.4°C | Hum: 72.9%"
"10:48:05.107 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.7%"
"10:48:10.109 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.7%"
"10:48:15.109 -> Soil: 90.0% | Temp: 31.4°C | Hum: 72.9%"
"10:48:20.112 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.9%"
"10:48:25.076 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.7%"
"10:48:30.079 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.8%"
"10:48:35.086 -> Soil: 90.0% | Temp: 31.4°C | Hum: 72.7%"
"10:48:40.090 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.8%"
"10:48:45.098 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.6%"
"10:48:50.097 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.7%"
"10:48:55.101 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.8%"
"10:49:00.107 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.7%"
"10:49:05.103 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.5%"
"10:49:10.113 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.9%"
"10:49:15.077 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.9%"
"10:49:20.075 -> Soil: 90.0% | Temp: 31.5°C | Hum: 73.0%"
"10:49:25.081 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.6%"
"10:49:30.096 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.7%"
"10:49:35.099 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.6%"
"10:49:40.102 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.4%"
"10:49:45.115 -> Soil: 90.0% | Temp: 31.4°C | Hum: 72.6%"
"10:49:50.116 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.9%"
"10:49:55.115 -> Soil: 89.0% | Temp: 31.5°C | Hum: 72.7%"
"10:50:00.084 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.6%"
"10:50:05.093 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.7%"
"10:50:10.100 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.6%"
"10:50:15.116 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.2%"
"10:50:20.077 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.6%"
"10:50:25.094 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.6%"
"10:50:30.071 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.6%"
"10:50:35.103 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.6%"
"10:50:40.087 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.4%"
"10:50:45.073 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.6%"
"10:50:50.111 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.8%"
"10:50:55.103 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.6%"
"10:51:00.093 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.5%"
"10:51:05.090 -> Soil: 91.0% | Temp: 31.5°C | Hum: 72.7%"
"10:51:10.085 -> Soil: 89.0% | Temp: 31.5°C | Hum: 72.3%"
"10:51:15.083 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.5%"
"10:51:20.073 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.7%"
"10:51:25.108 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.4%"
"10:51:30.104 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.5%"
"10:51:35.095 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.4%"
"10:51:40.086 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.4%"
"10:51:45.076 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.5%"
"10:51:50.105 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.3%"
"10:51:55.080 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.3%"
"10:52:00.113 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.4%"
"10:52:05.080 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.3%"
"10:52:10.103 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.4%"
"10:52:15.112 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.1%"
"10:52:20.086 -> Soil: 91.0% | Temp: 31.5°C | Hum: 72.2%"
"10:52:25.106 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.2%"
"10:52:30.077 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.0%"
"10:52:35.089 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.9%"
"10:52:40.098 -> Soil: 91.0% | Temp: 31.5°C | Hum: 72.1%"
"10:52:45.079 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.1%"
"10:52:50.088 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.1%"
"10:52:55.102 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.1%"
"10:53:00.078 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.9%"
"10:53:05.069 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.0%"
"10:53:10.096 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.9%"
"10:53:15.092 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.8%"
"10:53:20.076 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.7%"
"10:53:25.103 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.8%"
"10:53:30.098 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.0%"
"10:53:35.091 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.8%"
"10:53:40.098 -> Soil: 91.0% | Temp: 31.4°C | Hum: 72.1%"
"10:53:45.097 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.8%"
"10:53:50.086 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.8%"
"10:53:55.074 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.1%"
"10:54:00.072 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.0%"
"10:54:05.112 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.8%"
"10:54:10.096 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.8%"
"10:54:15.086 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.9%"
"10:54:20.096 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.8%"
"10:54:25.069 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.8%"
"10:54:30.082 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.5%"
"10:54:35.071 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.7%"
"10:54:40.104 -> Soil: 90.0% | Temp: 31.5°C | Hum: 72.0%"
"10:54:45.078 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.9%"
"10:54:50.110 -> Soil: 90.0% | Temp: 31.4°C | Hum: 71.8%"
"10:54:55.085 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.7%"
"10:55:00.074 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.7%"
"10:55:05.086 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.6%"
"10:55:10.075 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.6%"
"10:55:15.072 -> Soil: 90.0% | Temp: 31.4°C | Hum: 71.6%"
"10:55:20.103 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.6%"
"10:55:25.100 -> Soil: 90.0% | Temp: 31.4°C | Hum: 71.5%"
"10:55:30.087 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.3%"
"10:55:35.072 -> Soil: 90.0% | Temp: 31.4°C | Hum: 71.6%"
"10:55:40.067 -> Soil: 90.0% | Temp: 31.4°C | Hum: 71.5%"
"10:55:45.108 -> Soil: 90.0% | Temp: 31.4°C | Hum: 71.4%"
"10:55:50.095 -> Soil: 90.0% | Temp: 31.4°C | Hum: 71.4%"
"10:55:55.088 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.5%"
"10:56:00.077 -> Soil: 90.0% | Temp: 31.4°C | Hum: 71.3%"
"10:56:05.068 -> Soil: 90.0% | Temp: 31.4°C | Hum: 71.6%"
"10:56:10.105 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.4%"
"10:56:15.089 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.3%"
"10:56:20.082 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.4%"
"10:56:25.072 -> Soil: 90.0% | Temp: 31.4°C | Hum: 71.3%"
"10:56:30.102 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.5%"
"10:56:35.081 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.5%"
"10:56:40.067 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.6%"
"10:56:45.103 -> Soil: 90.0% | Temp: 31.4°C | Hum: 71.7%"
"10:56:50.087 -> Soil: 90.0% | Temp: 31.5°C | Hum: 71.5%"
"10:56:55.072 -> Soil: 100.0% | Temp: 31.4°C | Hum: 71.8%"
"10:57:00.102 -> Soil: 100.0% | Temp: 31.4°C | Hum: 71.7%"
"10:57:05.091 -> Soil: 95.0% | Temp: 31.4°C | Hum: 71.7%"
"10:57:10.081 -> Soil: 95.0% | Temp: 31.4°C | Hum: 71.6%"
"10:57:15.071 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.3%"
"10:57:20.106 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.7%"
"10:57:25.097 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.6%"
"10:57:30.089 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.2%"
"10:57:35.083 -> Soil: 95.0% | Temp: 31.4°C | Hum: 71.2%"
"10:57:40.100 -> Soil: 95.0% | Temp: 31.4°C | Hum: 71.4%"
"10:57:45.088 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.4%"
"10:57:50.072 -> Soil: 95.0% | Temp: 31.4°C | Hum: 71.2%"
"10:57:55.103 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.1%"
"10:58:00.070 -> Soil: 95.0% | Temp: 31.5°C | Hum: 71.2%"
"10:58:05.092 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.2%"
"10:58:10.102 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.1%"
"10:58:15.088 -> Soil: 95.0% | Temp: 31.4°C | Hum: 71.3%"
"10:58:20.103 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.3%"
"10:58:25.075 -> Soil: 93.0% | Temp: 31.4°C | Hum: 70.9%"
"10:58:30.063 -> Soil: 95.0% | Temp: 31.4°C | Hum: 71.0%"
"10:58:35.092 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.1%"
"10:58:40.064 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.1%"
"10:58:45.075 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.2%"
"10:58:50.098 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.1%"
"10:58:55.065 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.2%"
"10:59:00.077 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.1%"
"10:59:05.104 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.0%"
"10:59:10.077 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.1%"
"10:59:15.081 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.8%"
"10:59:20.095 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.9%"
"10:59:25.062 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.0%"
"10:59:30.082 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.9%"
"10:59:35.099 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.0%"
"10:59:40.063 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.8%"
"10:59:45.078 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.0%"
"10:59:50.098 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.8%"
"10:59:55.067 -> Soil: 95.0% | Temp: 31.4°C | Hum: 70.8%"
"11:00:00.075 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.1%"
"11:00:05.082 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.0%"
"11:00:10.087 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.8%"
"11:00:15.092 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.9%"
"11:00:20.087 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.9%"
"11:00:25.102 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.6%"
"11:00:30.088 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.8%"
"11:00:35.072 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.8%"
"11:00:40.100 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.9%"
"11:00:45.073 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.7%"
"11:00:50.100 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.6%"
"11:00:55.072 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.9%"
"11:01:00.097 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.0%"
"11:01:05.087 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.0%"
"11:01:10.072 -> Soil: 93.0% | Temp: 31.3°C | Hum: 71.0%"
"11:01:15.093 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.7%"
"11:01:20.071 -> Soil: 94.0% | Temp: 31.4°C | Hum: 71.0%"
"11:01:25.079 -> Soil: 93.0% | Temp: 31.4°C | Hum: 70.9%"
"11:01:30.089 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.7%"
"11:01:35.071 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.8%"
"11:01:40.099 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.9%"
"11:01:45.073 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.7%"
"11:01:50.084 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.9%"
"11:01:55.055 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.6%"
"11:02:00.069 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.6%"
"11:02:05.082 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.7%"
"11:02:10.068 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.6%"
"11:02:15.064 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.6%"
"11:02:20.055 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.9%"
"11:02:25.088 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.8%"
"11:02:30.066 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.9%"
"11:02:35.091 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.8%"
"11:02:40.072 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.5%"
"11:02:45.056 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.7%"
"11:02:50.086 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.7%"
"11:02:55.055 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.5%"
"11:03:00.078 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.6%"
"11:03:05.056 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.6%"
"11:03:10.083 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.5%"
"11:03:15.067 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.8%"
"11:03:20.069 -> Soil: 93.0% | Temp: 31.4°C | Hum: 70.4%"
"11:03:25.088 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.5%"
"11:03:30.060 -> Soil: 93.0% | Temp: 31.4°C | Hum: 70.8%"
"11:03:35.088 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.6%"
"11:03:40.080 -> Soil: 93.0% | Temp: 31.4°C | Hum: 70.6%"
"11:03:45.074 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.7%"
"11:03:50.054 -> Soil: 84.0% | Temp: 31.4°C | Hum: 70.6%"
"11:03:55.078 -> Soil: 100.0% | Temp: 31.4°C | Hum: 70.2%"
"11:04:00.068 -> Soil: 100.0% | Temp: 31.4°C | Hum: 70.3%"
"11:04:05.089 -> Soil: 94.0% | Temp: 31.4°C | Hum: 70.4%"
"11:04:10.072 -> Soil: 90.0% | Temp: 31.4°C | Hum: 70.4%"
"11:04:15.060 -> Soil: 90.0% | Temp: 31.4°C | Hum: 70.4%"
"11:04:20.056 -> Soil: 89.0% | Temp: 31.5°C | Hum: 70.6%"
"11:04:25.081 -> Soil: 90.0% | Temp: 31.5°C | Hum: 70.3%"
"11:04:30.070 -> Soil: 90.0% | Temp: 31.4°C | Hum: 70.3%"
"11:04:35.094 -> Soil: 90.0% | Temp: 31.4°C | Hum: 70.4%"
"11:04:40.080 -> Soil: 90.0% | Temp: 31.4°C | Hum: 70.4%"
"11:04:45.067 -> Soil: 90.0% | Temp: 31.4°C | Hum: 70.2%"
"11:04:50.060 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.1%"
"11:04:55.085 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.2%"
"11:05:00.073 -> Soil: 90.0% | Temp: 31.4°C | Hum: 70.2%"
"11:05:05.059 -> Soil: 90.0% | Temp: 31.4°C | Hum: 70.3%"
"11:05:10.078 -> Soil: 90.0% | Temp: 31.4°C | Hum: 70.0%"
"11:05:15.055 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.1%"
"11:05:20.072 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.0%"
"11:05:25.056 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.1%"
"11:05:30.049 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.2%"
"11:05:35.075 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.3%"
"11:05:40.071 -> Soil: 90.0% | Temp: 31.4°C | Hum: 70.1%"
"11:05:45.096 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.0%"
"11:05:50.072 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.2%"
"11:05:55.052 -> Soil: 89.0% | Temp: 31.4°C | Hum: 69.9%"
"11:06:00.087 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.3%"
"11:06:05.086 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.1%"
"11:06:10.054 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.1%"
"11:06:15.070 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.4%"
"11:06:20.083 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.2%"
"11:06:25.049 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.2%"
"11:06:30.063 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.2%"
"11:06:35.072 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.4%"
"11:06:40.086 -> Soil: 88.0% | Temp: 31.4°C | Hum: 70.1%"
"11:06:45.076 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.3%"
"11:06:50.067 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.3%"
"11:06:55.056 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.5%"
"11:07:00.088 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.2%"
"11:07:05.072 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.4%"
"11:07:10.091 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.2%"
"11:07:15.079 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.2%"
"11:07:20.067 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.2%"
"11:07:25.050 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.4%"
"11:07:30.079 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.5%"
"11:07:35.064 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.3%"
"11:07:40.056 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.5%"
"11:07:45.047 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.4%"
"11:07:50.072 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.6%"
"11:07:55.058 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.5%"
"11:08:00.046 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.5%"
"11:08:05.074 -> Soil: 88.0% | Temp: 31.4°C | Hum: 70.4%"
"11:08:10.062 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.5%"
"11:08:15.051 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.4%"
"11:08:20.079 -> Soil: 88.0% | Temp: 31.4°C | Hum: 70.5%"
"11:08:25.072 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.3%"
"11:08:30.056 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.5%"
"11:08:35.078 -> Soil: 88.0% | Temp: 31.4°C | Hum: 70.6%"
"11:08:40.066 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.5%"
"11:08:45.045 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.6%"
"11:08:50.074 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.6%"
"11:08:55.063 -> Soil: 88.0% | Temp: 31.4°C | Hum: 70.5%"
"11:09:00.055 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.6%"
"11:09:05.084 -> Soil: 89.0% | Temp: 31.4°C | Hum: 70.5%"
"11:09:10.066 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.4%"
"11:09:15.055 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.6%"
"11:09:20.043 -> Soil: 88.0% | Temp: 31.4°C | Hum: 70.7%"
"11:09:25.081 -> Soil: 88.0% | Temp: 31.4°C | Hum: 70.7%"
"11:09:30.076 -> Soil: 88.0% | Temp: 31.4°C | Hum: 70.4%"
"11:09:35.068 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.4%"
"11:09:40.062 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.5%"
"11:09:45.054 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.5%"
"11:09:50.044 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.8%"
"11:09:55.088 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.6%"
"11:10:00.082 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.5%"
"11:10:05.068 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.2%"
"11:10:10.056 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.4%"
"11:10:15.088 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.6%"
"11:10:20.079 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.4%"
"11:10:25.057 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.2%"
"11:10:30.086 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.3%"
"11:10:35.065 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.6%"
"11:10:40.056 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.5%"
"11:10:45.081 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.6%"
"11:10:50.064 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.5%"
"11:10:55.052 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.6%"
"11:11:00.051 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.4%"
"11:11:05.086 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.4%"
"11:11:10.077 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.5%"
"11:11:15.086 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.4%"
"11:11:20.053 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.4%"
"11:11:25.054 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.5%"
"11:11:30.049 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.3%"
"11:11:35.084 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.3%"
"11:11:40.077 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.2%"
"11:11:45.083 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.0%"
"11:11:50.044 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.0%"
"11:11:55.046 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.0%"
"11:12:00.040 -> Soil: 87.0% | Temp: 31.5°C | Hum: 69.9%"
"11:12:05.043 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.1%"
"11:12:10.053 -> Soil: 88.0% | Temp: 31.5°C | Hum: 69.8%"
"11:12:15.075 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.1%"
"11:12:20.062 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.1%"
"11:12:25.041 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.2%"
"11:12:30.073 -> Soil: 87.0% | Temp: 31.4°C | Hum: 70.2%"
"11:12:35.061 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.1%"
"11:12:40.060 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.4%"
"11:12:45.047 -> Soil: 88.0% | Temp: 31.5°C | Hum: 69.9%"
"11:12:50.073 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.1%"
"11:12:55.058 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.0%"
"11:13:00.052 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.0%"
"11:13:05.045 -> Soil: 87.0% | Temp: 31.5°C | Hum: 69.9%"
"11:13:10.080 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.1%"
"11:13:15.070 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.2%"
"11:13:20.061 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.2%"
"11:13:25.056 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.2%"
"11:13:30.046 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.5%"
"11:13:35.041 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.4%"
"11:13:40.040 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.2%"
"11:13:45.080 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.1%"
"11:13:50.066 -> Soil: 88.0% | Temp: 31.5°C | Hum: 70.4%"
"11:13:55.052 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.2%"
"11:14:00.038 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.5%"
"11:14:05.053 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.4%"
"11:14:10.037 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.5%"
"11:14:15.071 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.4%"
"11:14:20.067 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.4%"
"11:14:25.052 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.6%"
"11:14:30.056 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.5%"
"11:14:35.045 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.7%"
"11:14:40.073 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.5%"
"11:14:45.068 -> Soil: 87.0% | Temp: 31.5°C | Hum: 70.7%"
